                                                                                                                                                                                          2 Apr 2025 21:05:16
Place-Raisting-Receiver-DLRx-To-Satellite-CommSat-Transmitter-DLTx:  Link Budget


      Time (UTCG)          EIRP (dBW)    Rcvd. Frequency (GHz)    Rcvd. Iso. Power (dBW)    Flux Density (dBW/m^2)    g/T (dB/K)    C/No (dB*Hz)    Bandwidth (kHz)    C/N (dB)    Eb/No (dB)         BER    
-----------------------    ----------    ---------------------    ----------------------    ----------------------    ----------    ------------    ---------------    --------    ----------    ------------
1 May 2024 06:27:40.095        23.010                 1.500031                  -141.813               -116.835574     17.000000      103.786055          32000.000     28.7346       31.7449    1.000000e-30
1 May 2024 06:28:40.000        23.010                 1.500031                  -140.563               -115.585066     17.000000      105.036563          32000.000     29.9851       32.9954    1.000000e-30
1 May 2024 06:29:40.000        23.010                 1.500029                  -139.154               -114.176780     17.000000      106.444849          32000.000     31.3933       34.4036    1.000000e-30
1 May 2024 06:30:40.000        23.010                 1.500027                  -137.591               -112.613687     17.000000      108.007942          32000.000     32.9564       35.9667    1.000000e-30
1 May 2024 06:31:40.000        23.010                 1.500022                  -135.943               -110.965693     17.000000      109.655936          32000.000     34.6044       37.6147    1.000000e-30
1 May 2024 06:32:40.000        23.010                 1.500014                  -134.468               -109.490010     17.000000      111.131619          32000.000     36.0801       39.0904    1.000000e-30
1 May 2024 06:33:40.000        23.010                 1.500002                  -133.713               -108.735174     17.000000      111.886456          32000.000     36.8350       39.8453    1.000000e-30
1 May 2024 06:34:40.000        23.010                 1.499989                  -134.139               -109.161437     17.000000      111.460193          32000.000     36.4087       39.4190    1.000000e-30
1 May 2024 06:35:40.000        23.010                 1.499980                  -135.469               -110.491071     17.000000      110.130558          32000.000     35.0791       38.0894    1.000000e-30
1 May 2024 06:36:40.000        23.010                 1.499974                  -137.105               -112.127318     17.000000      108.494311          32000.000     33.4428       36.4531    1.000000e-30
1 May 2024 06:37:40.000        23.010                 1.499971                  -138.705               -113.727985     17.000000      106.893644          32000.000     31.8421       34.8524    1.000000e-30
1 May 2024 06:38:40.000        23.010                 1.499970                  -140.161               -115.183612     17.000000      105.438017          32000.000     30.3865       33.3968    1.000000e-30
1 May 2024 06:39:40.000        23.010                 1.499969                  -141.458               -116.480344     17.000000      104.141285          32000.000     29.0898       32.1001    1.000000e-30
1 May 2024 06:39:44.895        23.010                 1.499969                  -141.557               -116.579507     17.000000      104.042122          32000.000     28.9906       32.0009    1.000000e-30

